ElecStatus,MinimumOverall,InvestmentCost,MinimumOverallLCOE,NumConnections,DemandKWh_Y0,DistNearElecKm,ElecTargetPhase,ElecTargetYear,GridRolloutPhase,LCOE_Grid,LCOE_SHS,LCOE_MG_Solar,LCOE_MG_Hydro,Lat,Lon
electrified,Already Electrified,0.0,0.0,20,3180.975,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.266474539039218,2.280022877433167
electrified,Already Electrified,0.0,0.0,27,2673.16875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.030267928884986,2.6031305264533713
unelectrified,SHS,18450.0,7.428418142383709,123,752.23125,0.0,Phase 2 (→2035),2035.0,N/A,7.7021500350405,7.428418142383709,inf,inf,6.917517280423019,1.913180561936134
electrified,Already Electrified,0.0,0.0,27,2673.16875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.266028813879044,1.7911135552249657
electrified,Already Electrified,0.0,0.0,26,3174.5875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.9356435960050336,2.693325219791046
electrified,Already Electrified,0.0,0.0,19,3477.08125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.405452657801093,1.9710423002312887
electrified,Already Electrified,0.0,0.0,29,2871.18125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.004473353293081,2.6965712037529626
unelectrified,SHS,5850.0,0.6265136872999727,39,3861.24375,0.0,Phase 2 (→2035),2035.0,N/A,0.5619113433517482,0.6265136872999727,inf,inf,10.312406592073575,3.3589582813039254
electrified,Already Electrified,0.0,0.0,51,11235.6125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.688467882811292,1.643355405328278
electrified,Already Electrified,0.0,0.0,14,1108.87,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.0728477215808425,2.7018301342918853
unelectrified,SHS,5400.0,0.6265136872999727,36,2851.38,0.0,Phase 2 (→2035),2035.0,N/A,0.6700835724535691,0.6265136872999727,inf,inf,7.04002507786123,2.7508822086092577
unelectrified,SHS,1950.0,0.6265136872999727,13,1287.08125,0.0052544823102975225,Phase 3 (→2040),2040.0,N/A,0.5619113433517482,0.6265136872999727,inf,inf,10.320621877634263,2.38559282386566
unelectrified,SHS,4500.0,0.6265136872999727,30,2376.15,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,9.233696846514125,1.7558334375602414
electrified,Already Electrified,0.0,0.0,41,4256.8125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.852790144386102,2.1875961471427634
electrified,Already Electrified,0.0,0.0,18,1425.69,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.229257132482164,2.69572788898831
electrified,Already Electrified,0.0,0.0,41,7258.9375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.06513463583872,2.6457688154444083
electrified,Already Electrified,0.0,0.0,24,2376.15,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.727556206860653,2.0492059023974445
electrified,Already Electrified,0.0,0.0,21,1663.305,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.299061711557128,2.3527476498083324
unelectrified,SHS,5100.0,0.6265136872999727,34,3366.2125,0.0,Phase 2 (→2035),2035.0,N/A,0.5154529445970459,0.6265136872999727,inf,inf,9.503610705786976,1.3779181898704487
electrified,Already Electrified,0.0,0.0,47,4653.29375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.163873091152375,2.905183171781654
unelectrified,SHS,6450.0,6.313556625369244,43,309.411875,0.023637551287049776,Phase 3 (→2040),2040.0,N/A,6.457045003366558,6.313556625369244,inf,inf,6.894122904491251,2.7397757915469665
unelectrified,SHS,3300.0,0.6265136872999727,22,2178.1375,0.0,Phase 2 (→2035),2035.0,N/A,0.5385719159573886,0.6265136872999727,inf,inf,7.514525952280987,1.879206240403235
unelectrified,SHS,16350.0,7.6499032919234145,109,647.31125,0.0,Phase 2 (→2035),2035.0,N/A,7.628733980494627,7.6499032919234145,inf,inf,11.217883713770286,2.92950037798948
electrified,Already Electrified,0.0,0.0,21,2276.6875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.776980901532909,1.363640948792524
electrified,Already Electrified,0.0,0.0,168,16953.885,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.861351630181708,2.130646644809909
unelectrified,SHS,3900.0,0.6265136872999727,26,2574.1625,0.0,Phase 2 (→2035),2035.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,10.78555147972787,2.9750439294501145
electrified,Already Electrified,0.0,0.0,20,1980.125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.611993068967047,2.1658475137979174
unelectrified,SHS,2700.0,0.6265136872999727,18,1425.69,0.0,Phase 2 (→2035),2035.0,N/A,0.6794355884112779,0.6265136872999727,inf,inf,8.98362878422398,1.6941132877236174
unelectrified,SHS,25650.0,36.37000070859689,171,213.597125,0.0,Phase 2 (→2035),2035.0,N/A,35.924655820624835,36.37000070859689,inf,inf,6.975827837544511,1.9465848346290864
unelectrified,SHS,2550.0,7.789945067825111,17,99.141875,0.005096847027920433,Phase 3 (→2040),2040.0,N/A,7.766707438167057,7.789945067825111,inf,inf,10.458905518149146,2.459430336343529
unelectrified,SHS,7650.0,7.496636701358304,51,309.0625,0.016369014490642084,Phase 3 (→2040),2040.0,N/A,7.390730563811266,7.496636701358304,inf,inf,10.496759860113292,2.7316635346970335
unelectrified,SHS,4950.0,0.6265136872999727,33,2613.765,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,7.664626909078706,1.8580072358654194
unelectrified,SHS,3450.0,0.6265136872999727,23,1821.715,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812215,0.6265136872999727,inf,inf,11.032654922322466,2.0640329663568164
